log_id,user_name,log_date,steps,calories_burned,active_minutes,distance_km
1,Olivia Bennett,2025-05-01,11240,2480,82,8.45
2,Olivia Bennett,2025-05-02,9870,2310,71,7.42
3,Olivia Bennett,2025-05-03,12530,2640,95,9.42
4,Olivia Bennett,2025-05-04,8420,2180,62,6.33
5,Olivia Bennett,2025-05-05,10980,2430,79,8.26
6,Olivia Bennett,2025-05-06,11620,2510,86,8.73
7,Olivia Bennett,2025-05-07,9450,2290,68,7.10
8,Olivia Bennett,2025-05-08,13210,2710,101,9.93
9,Olivia Bennett,2025-05-09,10340,2390,74,7.77
10,Olivia Bennett,2025-05-10,8920,2240,65,6.71
11,Olivia Bennett,2025-05-11,12080,2580,88,9.08
12,Olivia Bennett,2025-05-12,11470,2490,81,8.62
13,Olivia Bennett,2025-05-13,9760,2330,70,7.34
14,Olivia Bennett,2025-05-14,10610,2410,76,7.97
15,Olivia Bennett,2025-05-15,11890,2540,84,8.94
16,Marcus Chen,2025-05-01,14320,2890,112,10.76
17,Marcus Chen,2025-05-02,13880,2820,108,10.43
18,Marcus Chen,2025-05-03,15240,2980,121,11.45
19,Marcus Chen,2025-05-04,12940,2730,98,9.73
20,Marcus Chen,2025-05-05,14620,2910,115,10.99
21,Marcus Chen,2025-05-06,13510,2780,104,10.16
22,Marcus Chen,2025-05-07,16080,3050,128,12.08
23,Marcus Chen,2025-05-08,14790,2920,117,11.12
24,Marcus Chen,2025-05-09,13260,2760,101,9.97
25,Marcus Chen,2025-05-10,15470,2990,124,11.63
26,Marcus Chen,2025-05-11,14130,2860,110,10.62
27,Marcus Chen,2025-05-12,13720,2810,106,10.32
28,Marcus Chen,2025-05-13,15820,3010,126,11.89
29,Marcus Chen,2025-05-14,14420,2880,113,10.84
30,Marcus Chen,2025-05-15,13980,2840,109,10.51
31,Sofia Ramirez,2025-05-01,4120,1620,28,3.10
32,Sofia Ramirez,2025-05-02,3680,1540,24,2.77
