ride_id,driver_id,rider_name,pickup_time,dropoff_time,distance_km,fare
1,1,Sarah Johnson,2024-08-02 08:14:00,2024-08-02 08:37:00,7.2,18.50
2,1,Brian Walsh,2024-08-03 17:42:00,2024-08-03 18:05:00,6.8,17.25
3,1,Megan Foster,2024-08-05 09:20:00,2024-08-05 09:31:00,3.4,11.00
4,1,David Reyes,2024-08-08 22:11:00,2024-08-08 22:48:00,12.6,28.75
5,1,Lisa Tran,2024-08-12 07:48:00,2024-08-12 08:09:00,5.9,15.50
6,2,Anthony Morales,2024-08-01 11:03:00,2024-08-01 11:22:00,4.7,13.25
7,2,Jenna Park,2024-08-04 19:31:00,2024-08-04 20:02:00,9.8,22.00
8,2,Robert Cole,2024-08-09 14:15:00,2024-08-09 14:33:00,5.1,14.00
9,2,Maya Singh,2024-08-15 06:55:00,2024-08-15 07:19:00,8.3,19.75
10,3,Tyler Brooks,2024-08-02 15:40:00,2024-08-02 16:11:00,11.4,25.50
11,3,Nina Alvarez,2024-08-06 10:08:00,2024-08-06 10:24:00,4.5,12.75
12,3,Greg Sutton,2024-08-10 21:46:00,2024-08-10 22:12:00,8.9,20.25
13,3,Cassidy Wells,2024-08-14 12:30:00,2024-08-14 12:58:00,9.7,21.50
14,3,Ethan Mitchell,2024-08-18 08:22:00,2024-08-18 08:41:00,6.2,16.00
15,3,Vanessa Holt,2024-08-22 16:55:00,2024-08-22 17:24:00,10.1,23.00
16,4,Marcus Lin,2024-08-03 13:18:00,2024-08-03 13:39:00,7.0,17.50
17,4,Heidi Schaefer,2024-08-07 18:44:00,2024-08-07 19:06:00,6.3,16.50
18,4,Jordan Tate,2024-08-11 09:02:00,2024-08-11 09:25:00,8.0,19.25
19,4,Adrian Sosa,2024-08-16 20:37:00,2024-08-16 21:01:00,7.7,18.75
20,5,Whitney Adams,2024-08-01 07:34:00,2024-08-01 08:00:00,9.5,21.00
21,5,Kevin Liu,2024-08-04 16:48:00,2024-08-04 17:10:00,6.1,15.75
22,5,Beatrice Yu,2024-08-08 11:25:00,2024-08-08 11:53:00,10.4,23.50
23,5,Owen Whitaker,2024-08-13 23:02:00,2024-08-13 23:38:00,13.2,29.50
24,5,Talia Mansour,2024-08-19 06:14:00,2024-08-19 06:33:00,5.6,14.75
25,5,Felix Donovan,2024-08-24 14:50:00,2024-08-24 15:14:00,7.8,18.50
26,6,Sandra Becker,2024-08-05 10:11:00,2024-08-05 10:27:00,4.2,12.50
27,6,Trevor Hall,2024-08-12 19:18:00,2024-08-12 19:42:00,7.4,18.00
28,6,Lauren Estrada,2024-08-20 08:33:00,2024-08-20 08:54:00,6.6,16.25
29,7,Patrick Nolan,2024-08-02 17:24:00,2024-08-02 17:58:00,11.8,26.00
30,7,Iris Bradley,2024-08-06 09:47:00,2024-08-06 10:08:00,5.5,14.50
31,7,Devon Ashby,2024-08-11 21:13:00,2024-08-11 21:39:00,9.0,20.75
32,7,Camille Frost,2024-08-17 14:02:00,2024-08-17 14:24:00,6.9,17.00
33,7,Bryce Cantrell,2024-08-21 07:19:00,2024-08-21 07:48:00,10.2,23.25
34,8,Sienna Pratt,2024-08-03 12:08:00,2024-08-03 12:32:00,7.5,18.50
35,8,Wesley Forbes,2024-08-09 18:52:00,2024-08-09 19:14:00,6.4,16.75
36,8,Tara Eldridge,2024-08-15 10:36:00,2024-08-15 11:01:00,8.6,20.00
37,8,Marcus Quincy,2024-08-23 22:48:00,2024-08-23 23:15:00,9.4,21.75
38,9,Eliza Caruso,2024-08-04 08:51:00,2024-08-04 09:09:00,5.3,14.25
39,9,Hudson Pang,2024-08-10 16:27:00,2024-08-10 16:48:00,6.7,16.75
40,9,Yara Whitfield,2024-08-16 11:14:00,2024-08-16 11:39:00,8.2,19.50
41,9,Roland Macias,2024-08-22 19:55:00,2024-08-22 20:18:00,7.1,17.75
42,10,Bianca Stoll,2024-08-06 13:42:00,2024-08-06 14:05:00,7.6,18.50
43,10,Connor Whelan,2024-08-13 09:18:00,2024-08-13 09:42:00,8.1,19.25
44,10,Selma Gardner,2024-08-19 17:32:00,2024-08-19 17:51:00,5.7,15.00
45,11,Jasper Hollis,2024-08-08 20:24:00,2024-08-08 20:46:00,6.8,17.00
46,11,Phoebe Lindgren,2024-08-14 07:09:00,2024-08-14 07:31:00,7.3,17.75
47,11,Marco Velasquez,2024-08-20 15:46:00,2024-08-20 16:11:00,8.5,19.75
48,12,Reese Kapoor,2024-08-11 10:54:00,2024-08-11 11:13:00,5.4,14.50
49,12,Lily Hawthorne,2024-08-17 18:38:00,2024-08-17 19:01:00,7.9,18.75
50,12,Nathan Briggs,2024-08-25 12:17:00,2024-08-25 12:42:00,8.4,20.00
