txn_id,listing_id,sale_price,closed_at,buyer_name
5001,101,668000,2024-02-15,Daniel Whitman
5002,102,915000,2024-03-22,Aria Sundberg
5003,104,1925000,2024-03-08,Vincent Caldera
5004,105,1430000,2024-03-30,Elena Rostova
5005,108,705000,2024-02-26,Marcus Hollingsworth
5006,109,1110000,2024-04-04,Theresa Nakamura
5007,112,418000,2024-03-01,Benjamin Ashford
5008,114,1335000,2024-05-24,Catalina Reyes
5009,115,762000,2024-03-18,Jonas Halvorsen
5010,118,712000,2024-02-19,Penelope Drummond
5011,119,1175000,2024-04-01,Owen Beauchamp
5012,120,1960000,2024-05-08,Yusuf Akhtar
5013,122,790000,2024-02-27,Lillian Fernsby
5014,123,1525000,2024-03-25,Kenji Watanabe
5015,126,460000,2024-03-04,Hugo Albrecht
5016,127,1085000,2024-04-19,Marina Delacroix
5017,129,690000,2024-02-12,Charlotte Pemberton
5018,130,1275000,2024-03-26,Ravi Subramanian
5019,131,358000,2024-04-08,Audrey Westbrook
5020,132,2010000,2024-05-15,Lucas Kowalski
