receipt_id,customer_email,items_total,ordered_at,pickup_time
1,emma.larsson@gmail.com,8.25,2025-03-03 07:42:11,2025-03-03 07:55:00
2,oliver.zhang@gmail.com,11.40,2025-03-03 08:15:33,2025-03-03 08:30:00
3,ava.nguyen@gmail.com,6.95,2025-03-03 12:08:47,2025-03-03 12:20:00
4,grace.miller@gmail.com,14.50,2025-03-03 13:31:22,2025-03-03 13:45:00
5,liam.chen@outlook.com,9.80,2025-03-04 07:24:08,2025-03-04 07:35:00
6,henry.osei@gmail.com,5.75,2025-03-04 08:51:39,2025-03-04 09:05:00
7,sofia.alvarez@yahoo.com,12.10,2025-03-04 11:46:14,2025-03-04 12:00:00
8,zoe.bennett@yahoo.com,7.30,2025-03-04 14:22:55,2025-03-04 14:35:00
9,oliver.zhang@gmail.com,15.85,2025-03-05 07:33:42,2025-03-05 07:50:00
10,emma.larsson@gmail.com,4.95,2025-03-05 09:11:08,2025-03-05 09:20:00
11,ryan.kowalski@gmail.com,10.25,2025-03-05 12:48:31,2025-03-05 13:00:00
12,grace.miller@gmail.com,8.60,2025-03-05 13:55:17,2025-03-05 14:10:00
13,liam.chen@outlook.com,13.40,2025-03-06 07:18:49,2025-03-06 07:30:00
14,priya.shah@hotmail.com,6.85,2025-03-06 08:42:25,2025-03-06 09:00:00
15,olivia.kim@hotmail.com,11.95,2025-03-06 11:35:13,2025-03-06 11:50:00
16,oliver.zhang@gmail.com,5.40,2025-03-06 14:01:58,2025-03-06 14:15:00
17,ava.nguyen@gmail.com,14.75,2025-03-07 07:29:34,2025-03-07 07:45:00
18,marcus.bell@gmail.com,9.15,2025-03-07 08:53:11,2025-03-07 09:10:00
19,grace.miller@gmail.com,7.50,2025-03-07 12:14:46,2025-03-07 12:25:00
20,henry.osei@gmail.com,16.20,2025-03-07 13:38:29,2025-03-07 13:55:00
21,sofia.alvarez@yahoo.com,8.95,2025-03-08 07:21:53,2025-03-08 07:35:00
22,nora.evans@gmail.com,4.85,2025-03-08 08:47:18,2025-03-08 09:00:00
23,priya.shah@hotmail.com,12.55,2025-03-08 11:09:42,2025-03-08 11:25:00
24,emma.larsson@gmail.com,10.10,2025-03-08 13:23:05,2025-03-08 13:35:00
25,oliver.zhang@gmail.com,6.70,2025-03-09 07:46:31,2025-03-09 08:00:00
26,ryan.kowalski@gmail.com,13.95,2025-03-09 09:12:48,2025-03-09 09:25:00
27,ava.nguyen@gmail.com,5.25,2025-03-09 12:39:14,2025-03-09 12:50:00
28,zoe.bennett@yahoo.com,11.80,2025-03-09 14:08:39,2025-03-09 14:20:00
29,grace.miller@gmail.com,9.45,2025-03-10 07:35:22,2025-03-10 07:45:00
30,nora.evans@gmail.com,15.30,2025-03-10 08:58:11,2025-03-10 09:15:00
